Place Name,Latitude,Longitude
"John F. Kennedy International Airport, NY, USA",40.641766,-73.780968
"Charlotte Douglas International Airport, Charlotte, NC, USA",35.213890,-80.943054
"O’Hare International Airport, Chicago, IL, USA",41.978611,-87.904724
"Tucson International Airport, Tuscon, Arizona, US",32.116112,-110.941109
"Candy Kitchen Ranch Airport, Ramah, NM, USA",34.903271,-108.514519
"Canandaigua Airport - KIUA, Canandaigua, NY, USA",42.907768,-77.318970
"Asheville Regional Airport, Fletcher, NC, USA",35.436077,-82.541298
"Dallas Love Field Airport, Dallas, TX, USA",32.848152,-96.851349
"Fly Bart's, East Moriches, NY, the USA",40.822773,-72.748634
"Tampa International Airport, Tampa, FL, USA",27.979168,-82.539337
"Kotlik Airport (KOT), Kotlik, AK, USA",63.035789,-163.527863
"Michael Army Airfield (DPG), Utah, USA",40.199387,-112.937469
"Emerald Coast Aviation, Crestview, FL, USA",30.781055,-86.524994
"Preston Smith International Airport, Lubbock, TX, USA",33.656384,-101.821861
"Eagle Landing Airport LZ, Avinger, TX, USA",32.886677,-94.599251
"Greater Rochester International Airport, Rochester, NY, USA",43.128002,-77.665474
"Warrenton-Fauquier Airport (KHWY), Midland, VA, USA",38.592724,-77.711441
"San Diego International Airport (SAN), San Diego, CA, USA",32.731770,-117.197624
"Mc Donald Field, Marshville, NC, USA",35.053238,-80.409195
"Nashville International Airport (BNA), Nashville, TN, USA",36.131687,-86.668823
"Lackland AFB, San Antonio, TX, USA",29.384344,-98.618645
"Seattle-Tacoma International Airport, Seattle, WA, USA",47.443546,-122.301659
"McGhee Tyson Airport (TYS), Alcoa, TN, USA",35.805813,-83.989815
"Kenai Municipal Airport, Kenai, AK, USA",60.567402,-151.246719
"Fort Gordon, Augusta, GA, USA",33.420696,-82.152374
"Mineta San José International Airport (SJC), San Jose, CA, USA",37.363949,-121.928940
"Hartsfield-Jackson Atlanta International Airport, Atlanta, GA, USA",33.640411,-84.419853
"Santa Fe Municipal Airport (SAF), Santa Fe, NM, USA",35.617500,-106.088333
"Delta County Airport (ESC), Escanaba, MI, USA",45.719906,-87.094070
"Cincinnati/Northern Kentucky International Airport (CVG), Hebron, KY, USA",39.053276,-84.663017
"San Diego International Airport (SAN), San Diego, CA, USA",32.732346,-117.196053
"Falcon Field Airport, Mesa, AZ, USA",33.457439,-111.727386
"John Wayne Airport (SNA), CA, USA",33.678925,-117.862869
"San Francisco International Airport (SFO), USA",37.615223,-122.389977
"Hunter Army Airfield, Savannah, GA, USA",32.015644,-81.143127
"Los Angeles International Airport, USA",33.942791,-118.410042
"Travis Air Force Base, Fairfield, USA",38.272118,-121.939857
"North Las Vegas Airport (VGT), Las Vegas, USA",36.213257,-115.194572
"Northern Lights Airport, Alburgh, VT, USA",44.871201,-73.286491
"McCarran International Airport (LAS), Las Vegas, NV, USA",36.086010,-115.153969
"Denver International Airport, USA",39.849312,-104.673828
"Pocatello Regional Airport, Pocatello, ID, USA",42.915703,-112.593040
"Borrego Valley Airport (BXS), Borrego Springs, CA, USA",33.257923,-116.321014
"Hatbox Field Airport, Muskogee, OK, USA",35.748463,-95.412529
"Unalakleet Airport (UNK), Unalakleet, AK, USA",63.889515,-160.799927
"Boone County Regional Airport (HRO), Harrison, AR, USA",36.264206,-93.154961
"St George Municipal Airport (SGU), St. George, UT, USA",37.030792,-113.508987
"General Mitchell International Airport (MKE), Milwaukee, WI, USA",42.949890,-87.900414
"Logan International Airport (BOS), Boston, MA, USA",42.366978,-71.022362
"Naec Airport, Jackson, NJ, USA",40.032608,-74.338257
"Memphis International Airport (MEM), TN, USA",35.040031,-89.981873
"Cape Girardeau Regional Airport (CGI), MO, USA",37.225136,-89.569305
"Laredo, TX, USA",27.506748,-99.502914
"Dallas/Fort Worth International Airport, Texas, USA",32.897480,-97.040443
"Quarry Hill Park, Rochester, MN, USA",44.030346,-92.437889
"Little Rock Air Force Base, Jacksonville, USA",34.914547,-92.142914
"Spruce Creek Airport, Florida, USA",29.080168,-81.046669
"Gwinnett County Airport (LZU), GA, USA",33.977947,-83.956772
